order_no,staff_name,order_status,order_date,customer_name,trxn_batch_id,coin,sender_wallet,receiver_wallet,coin_amount(usd),purchase_rate(ngnusd),order_time,date_paid,time_paid,month,channel,completed?
043,JPT-001,Paid,8-Jan-2022,Monica Federle,Buy-47863,BTC,kraken,kraken,$87.00,477.76,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
044,JPT-001,Paid,8-Jan-2022,Kristina Nunn,Buy-47863,BTC,kraken,kraken,$743.60,480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
045,JPT-001,Paid,8-Jan-2022,Khloe Miller,Buy-47863,BTC,kraken,kraken,$223.08,478.61,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
049,JPT-001,Paid,9-Jan-2022,Bobby Odegard,Buy-47864,BTC,kraken,kraken,$945.86,478.61,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
050,JPT-001,Paid,9-Jan-2022,Khloe Miller,Buy-47864,BTC,kraken,kraken,$223.08,478.61,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
051,JPT-001,Paid,9-Jan-2022,Fred Wasserman,Buy-47864,BTC,kraken,kraken,"$10,036.37",481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
052,JPT-001,Paid,9-Jan-2022,Monica Federle,Buy-47864,BTC,kraken,kraken,$361.39,480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
053,JPT-001,Paid,9-Jan-2022,Khloe Miller,Buy-47864,BTC,kraken,kraken,$223.08,478.61,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
054,JPT-001,Paid,10-Jan-2022,Adam Bellavance,Buy-47865,BTC,kraken,kraken,"$3,549.20",481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
055,JPT-001,Paid,10-Jan-2022,Monica Federle,Buy-47865,BTC,kraken,kraken,$890.83,481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
056,JPT-001,Paid,10-Jan-2022,Tony Chapman,Buy-47865,BTC,kraken,kraken,"$3,368.51",481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
059,JPT-001,Paid,11-Jan-2022,Khloe Miller,Buy-47866,BTC,kraken,kraken,$788.22,481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
060,JPT-001,Paid,11-Jan-2022,Bryan Davis,Buy-47866,BTC,kraken,kraken,"$4,448.22",481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
061,JPT-001,Paid,11-Jan-2022,Rick Reed,Buy-47866,BTC,kraken,kraken,$254.31,479.46,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
062,JPT-001,Paid,11-Jan-2022,Filia McAdams,Buy-47866,BTC,kraken,kraken,"$16,058.79",483.68,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
063,JPT-001,Paid,11-Jan-2022,Luke Weiss,Buy-47866,BTC,kraken,kraken,"$1,081.94",481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
064,JPT-001,Paid,11-Jan-2022,Fred Wasserman,Buy-47866,BTC,kraken,kraken,"$9,119.51",481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
065,JPT-001,Paid,11-Jan-2022,Fred Wasserman,Buy-47866,BTC,kraken,kraken,$594.88,481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
066,JPT-001,Paid,11-Jan-2022,Monica Federle,Buy-47866,BTC,kraken,kraken,"$11,142.85",481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
067,JPT-001,Paid,11-Jan-2022,Monica Federle,Buy-47866,BTC,kraken,kraken,"$1,484.23",481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
071,JPT-001,Paid,12-Jan-2022,Tony Chapman,Buy-47867,BTC,kraken,kraken,"$13,604.91",481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
072,JPT-001,Paid,12-Jan-2022,Monica Federle,Buy-47867,BTC,kraken,kraken,$910.17,481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
073,JPT-001,Paid,12-Jan-2022,Bryan Davis,Buy-47867,BTC,kraken,kraken,"$1,638.89",481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
074,JPT-001,Paid,12-Jan-2022,Fred Wasserman,Buy-47867,BTC,kraken,kraken,"$4,617.76",481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
075,JPT-001,Paid,12-Jan-2022,Anthony O'Donnell,Buy-47867,BTC,kraken,kraken,$594.88,480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
076,JPT-001,Paid,12-Jan-2022,Carlos Daly,Buy-47867,BTC,kraken,kraken,$220.85,481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
082,JPT-001,Paid,13-Jan-2022,Monica Federle,Buy-47868,BTC,kraken,kraken,$297.44,479.46,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
083,JPT-001,Paid,13-Jan-2022,Justin Hirsh,Buy-47868,BTC,kraken,kraken,"$5,751.00",482.84,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
084,JPT-001,Paid,13-Jan-2022,Muhammed MacIntyre,Buy-47868,BTC,kraken,kraken,$417.90,481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
086,JPT-001,Paid,13-Jan-2022,Tony Chapman,Buy-47868,BTC,kraken,kraken,"$5,371.77",485.37,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
087,JPT-001,Paid,13-Jan-2022,Adam Bellavance,Buy-47868,BTC,kraken,kraken,"$3,200.45",484.53,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
085,JPT-001,Paid,13-Jan-2022,Heather Jas,Buy-47868,BTC,kraken,kraken,"$30,834.47",489.42,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
089,JPT-001,Paid,14-Jan-2022,Cathy Armstrong,Buy-47869,BTC,kraken,kraken,"$3,703.13",484.53,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
090,JPT-001,Paid,14-Jan-2022,Sanjit Chand,Buy-47869,BTC,kraken,kraken,"$1,762.33",481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
091,JPT-001,Paid,14-Jan-2022,Ivan Liston,Buy-47869,BTC,kraken,kraken,$287.03,480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
092,JPT-001,Paid,14-Jan-2022,Sarah Jordon,Buy-47869,BTC,kraken,kraken,"$1,290.15",481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
093,JPT-001,Paid,14-Jan-2022,Jim Radford,Buy-47869,BTC,kraken,kraken,"$2,320.03",481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
094,JPT-001,Paid,14-Jan-2022,Grant Carroll,Buy-47869,USDT,kraken,kraken,$223.08,481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
095,JPT-001,Paid,14-Jan-2022,Bryan Davis,Buy-47869,BTC,kraken,kraken,"$1,336.99",480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
096,JPT-001,Paid,14-Jan-2022,Monica Federle,Buy-47869,BTC,kraken,kraken,"$2,226.34",480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
097,JPT-001,Paid,14-Jan-2022,Khloe Miller,Buy-47869,BTC,kraken,kraken,$535.39,477.76,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
098,JPT-001,Paid,14-Jan-2022,Anthony O'Donnell,Buy-47869,BTC,kraken,kraken,$316.77,479.46,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
099,JPT-001,Paid,14-Jan-2022,Doug Bickford,Buy-47869,BTC,kraken,kraken,"$3,710.56",479.46,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
088,JPT-001,Paid,14-Jan-2022,Heather Jas,Buy-47869,BTC,kraken,kraken,"$26,118.90",488.66,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
101,JPT-001,Paid,15-Jan-2022,Carlos Daly,Buy-47870,BTC,kraken,kraken,$220.85,477.76,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
102,JPT-001,Paid,16-Jan-2022,Bobby Odegard,Buy-47871,BTC,kraken,kraken,$147.23,478.61,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
103,JPT-001,Paid,16-Jan-2022,Khloe Miller,Buy-47871,BTC,kraken,kraken,$234.23,478.61,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
104,JPT-001,Paid,16-Jan-2022,Fred Wasserman,Buy-47871,BTC,kraken,kraken,"$1,046.25",478.61,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
105,JPT-001,Paid,16-Jan-2022,Fred Wasserman,Buy-47871,BTC,kraken,kraken,"$1,566.02",478.61,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
108,JPT-001,Paid,17-Jan-2022,Grant Carroll,Buy-47872,USDT,kraken,kraken,$446.16,481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
109,JPT-001,Paid,17-Jan-2022,Kristina Nunn,Buy-47872,BTC,kraken,kraken,"$1,154.07",481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
110,JPT-001,Paid,17-Jan-2022,Khloe Miller,Buy-47872,BTC,kraken,kraken,$294.47,481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
111,JPT-001,Paid,17-Jan-2022,Monica Federle,Buy-47872,BTC,kraken,kraken,$368.08,481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
112,JPT-001,Paid,17-Jan-2022,Monica Federle,Buy-47872,BTC,kraken,kraken,"$5,203.71",481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
113,JPT-001,Paid,17-Jan-2022,Monica Federle,Buy-47872,BTC,kraken,kraken,"$3,341.74",481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
116,JPT-001,Paid,18-Jan-2022,Tony Chapman,Buy-47873,BTC,kraken,kraken,"$5,304.84",483.68,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
117,JPT-001,Paid,18-Jan-2022,Fred Wasserman,Buy-47873,BTC,kraken,kraken,$820.93,481.15,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
118,JPT-001,Paid,18-Jan-2022,Monica Federle,Buy-47873,USDT,kraken,kraken,"$4,459.37",481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
119,JPT-001,Paid,18-Jan-2022,Cindy Schnelling,Buy-47873,BTC,kraken,kraken,$591.91,480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
120,JPT-001,Paid,18-Jan-2022,Muhammed MacIntyre,Buy-47873,BTC,kraken,kraken,"$1,044.01",481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
121,JPT-001,Paid,18-Jan-2022,Bobby Odegard,Buy-47873,BTC,kraken,kraken,"$2,726.04",481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
122,JPT-001,Paid,18-Jan-2022,Sylvia Foulston,Buy-47873,BTC,kraken,kraken,$353.21,481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
125,JPT-001,Paid,19-Jan-2022,Bryan Davis,Buy-47874,BTC,kraken,kraken,"$29,744.00",487.07,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
126,JPT-001,Paid,19-Jan-2022,Fred Wasserman,Buy-47874,ETH,kraken,kraken,$867.04,483.68,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
127,JPT-001,Paid,19-Jan-2022,Fred Wasserman,Buy-47874,BTC,kraken,kraken,$623.14,483.68,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
128,JPT-001,Paid,19-Jan-2022,Cindy Schnelling,Buy-47874,BTC,kraken,kraken,"$2,290.29",484.53,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
129,JPT-001,Paid,19-Jan-2022,Charles McCrossin,Buy-47874,BTC,kraken,kraken,$944.37,484.53,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
131,JPT-001,Paid,20-Jan-2022,Brendan Dodson,Buy-47875,USDT,kraken,kraken,"$2,897.81",484.53,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
132,JPT-001,Paid,20-Jan-2022,Jeremy Lonsdale,Buy-47875,BTC,kraken,kraken,"$5,588.15",481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
133,JPT-001,Paid,20-Jan-2022,Monica Federle,Buy-47875,BTC,kraken,kraken,$594.88,481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
134,JPT-001,Paid,20-Jan-2022,Jack Lebron,Buy-47875,BTC,kraken,kraken,"$4,010.98",484.53,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
135,JPT-001,Paid,20-Jan-2022,Fred Wasserman,Buy-47875,USDT,kraken,kraken,$739.88,482.84,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
136,JPT-001,Paid,20-Jan-2022,Monica Federle,Buy-47875,USDT,kraken,kraken,"$13,384.80",482.84,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
137,JPT-001,Paid,20-Jan-2022,Monica Federle,Buy-47875,BTC,kraken,kraken,$446.16,481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
138,JPT-001,Paid,20-Jan-2022,Hilary Holden,Buy-47875,USDT,kraken,kraken,"$3,718.00",485.37,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
139,JPT-001,Paid,20-Jan-2022,Filia McAdams,Buy-47875,BTC,kraken,kraken,"$7,132.61",484.53,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
144,JPT-001,Paid,21-Jan-2022,Ivan Liston,Buy-47876,BTC,kraken,kraken,"$10,545.74",484.53,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
145,JPT-001,Paid,21-Jan-2022,Joy Smith,Buy-47876,BTC,kraken,kraken,"$1,368.22",482.84,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
146,JPT-001,Paid,21-Jan-2022,Bobby Odegard,Buy-47876,BTC,kraken,kraken,$700.47,481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
147,JPT-001,Paid,21-Jan-2022,Erica Bern,Buy-47876,BTC,kraken,kraken,$109.31,480.30,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
148,JPT-001,Paid,21-Jan-2022,Monica Federle,Buy-47876,USDT,kraken,kraken,"$1,336.99",483.68,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
149,JPT-001,Paid,21-Jan-2022,Fred Wasserman,Buy-47876,BTC,kraken,kraken,"$1,955.67",483.68,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
150,JPT-001,Paid,21-Jan-2022,Fred Wasserman,Buy-47876,BTC,kraken,kraken,$416.42,483.68,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
151,JPT-001,Paid,21-Jan-2022,Fred Wasserman,Buy-47876,BTC,kraken,kraken,"$6,846.33",485.37,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
152,JPT-001,Paid,21-Jan-2022,Sarah Jordon,Buy-47876,BTC,kraken,kraken,"$1,996.57",481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
153,JPT-001,Paid,21-Jan-2022,Doug Bickford,Buy-47876,BTC,kraken,kraken,"$1,334.76",483.68,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
154,JPT-001,Paid,21-Jan-2022,Tony Chapman,Buy-47876,BTC,kraken,kraken,"$5,501.15",483.68,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
162,JPT-001,Paid,22-Jan-2022,Ivan Liston,Buy-47877,BTC,kraken,kraken,"$5,545.77",483.68,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
163,JPT-001,Paid,23-Jan-2022,Erica Bern,Buy-47878,BTC,kraken,kraken,$365.85,481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
164,JPT-001,Paid,23-Jan-2022,Bobby Odegard,Buy-47878,BTC,kraken,kraken,$428.31,481.99,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
165,JPT-001,Paid,23-Jan-2022,Greg Guthrie,Buy-47878,BTC,kraken,kraken,$993.45,483.68,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
169,JPT-001,Paid,24-Jan-2022,Monica Federle,Buy-47879,BTC,kraken,kraken,"$3,718.00",485.37,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
170,JPT-001,Paid,24-Jan-2022,Monica Federle,Buy-47879,BTC,kraken,kraken,"$1,338.48",484.53,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
171,JPT-001,Paid,24-Jan-2022,Cindy Schnelling,Buy-47879,BTC,kraken,kraken,"$13,265.82",487.07,2:23 PM,25-Jan-2022,5:34:01 AM,Jan-2022,Website,TRUE
172,JPT-001,Paid,24-Jan-2022,Jim Sink,Buy-47879,BTC,kraken,kraken,"$8,490.42",487.07,2:23 PM,26-Jan-2022,6:34:01 AM,Jan-2022,Website,TRUE
176,JPT-001,Paid,25-Jan-2022,Khloe Miller,Buy-47880,BTC,kraken,kraken,$490.78,484.53,2:23 PM,27-Jan-2022,7:34:01 AM,Jan-2022,Website,TRUE
177,JPT-001,Paid,25-Jan-2022,Fred Wasserman,Buy-47880,BTC,kraken,kraken,"$4,220.67",488.76,2:23 PM,28-Jan-2022,8:34:01 AM,Jan-2022,Website,TRUE
178,JPT-001,Paid,25-Jan-2022,Bobby Odegard,Buy-47880,BTC,kraken,kraken,$446.16,484.53,2:23 PM,29-Jan-2022,9:34:01 AM,Jan-2022,Website,TRUE
179,JPT-001,Paid,25-Jan-2022,Fred Wasserman,Buy-47880,BTC,kraken,kraken,$211.93,487.07,2:23 PM,30-Jan-2022,10:34:01 AM,Jan-2022,Website,TRUE
180,JPT-001,Paid,25-Jan-2022,Jeremy Lonsdale,Buy-47880,BTC,kraken,kraken,$594.88,488.76,2:23 PM,31-Jan-2022,11:34:01 AM,Jan-2022,Website,TRUE
181,JPT-001,Paid,25-Jan-2022,Monica Federle,Buy-47880,BTC,kraken,kraken,$74.36,487.91,2:23 PM,1-Feb-2022,12:34:01 PM,Jan-2022,Website,TRUE
182,JPT-001,Paid,25-Jan-2022,Monica Federle,Buy-47880,BTC,kraken,kraken,"$1,499.10",485.37,2:23 PM,2-Feb-2022,1:34:01 PM,Jan-2022,Website,TRUE
183,JPT-001,Paid,25-Jan-2022,Bryan Davis,Buy-47880,BTC,kraken,kraken,"$40,920.31",487.91,2:23 PM,3-Feb-2022,2:34:01 PM,Jan-2022,Website,TRUE
186,JPT-001,Paid,26-Jan-2022,Bobby Odegard,Buy-47881,BTC,kraken,kraken,"$3,491.95",486.22,2:23 PM,4-Feb-2022,3:34:01 PM,Jan-2022,Website,TRUE
187,JPT-001,Paid,26-Jan-2022,Greg Guthrie,Buy-47881,BTC,kraken,kraken,$446.16,484.53,2:23 PM,5-Feb-2022,4:34:01 PM,Jan-2022,Website,TRUE
188,JPT-001,Paid,26-Jan-2022,Jeremy Lonsdale,Buy-47881,BTC,kraken,kraken,"$1,021.71",484.53,2:23 PM,6-Feb-2022,5:34:01 PM,Jan-2022,Website,TRUE
189,JPT-001,Paid,26-Jan-2022,Cindy Schnelling,Buy-47881,ETH,kraken,kraken,"$1,500.58",484.53,2:23 PM,7-Feb-2022,6:34:01 PM,Jan-2022,Website,TRUE
190,JPT-001,Paid,26-Jan-2022,Monica Federle,Buy-47881,BTC,kraken,kraken,"$5,577.00",485.37,2:23 PM,8-Feb-2022,7:34:01 PM,Jan-2022,Website,TRUE
191,JPT-001,Paid,26-Jan-2022,Brian Moss,Buy-47881,BTC,kraken,kraken,$739.88,484.53,2:23 PM,9-Feb-2022,8:34:01 PM,Jan-2022,Website,TRUE
193,JPT-001,Paid,27-Jan-2022,Erica Bern,Buy-47882,BTC,kraken,kraken,$632.06,484.53,2:23 PM,10-Feb-2022,9:34:01 PM,Jan-2022,Website,TRUE
194,JPT-001,Paid,27-Jan-2022,Bobby Odegard,Buy-47882,BTC,kraken,kraken,$817.96,484.53,2:23 PM,11-Feb-2022,10:34:01 PM,Jan-2022,Website,TRUE
195,JPT-001,Paid,27-Jan-2022,Fred Wasserman,Buy-47882,BTC,kraken,kraken,"$1,446.30",485.37,2:23 PM,12-Feb-2022,11:34:01 PM,Jan-2022,Website,TRUE
196,JPT-001,Paid,27-Jan-2022,Rick Reed,Buy-47882,BTC,kraken,kraken,$554.73,485.37,2:23 PM,13-Feb-2022,12:34:01 AM,Jan-2022,Website,TRUE
